trackIsexplicit,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,songIsLiked
0,807,372,6000,-13703,87,294,849,101,308,119988,0
1,515,479,3000,-7458,26,544,5,191,284,88964,1
1,672,588,1000,-9573,133,619,241,99,204,169033,1
1,528,749,7000,-7571,47,4,0,94,729,163944,1
1,701,663,6000,-7227,202,12,0,131,334,100001,0
0,448,720,7000,-3954,33,42,0,614,361,157919,1
0,532,663,0,-5886,29,425,0,73,756,75140,1
0,659,890,6000,-8446,57,81,0,112,612,90007,0
0,671,481,11000,-10111,48,505,0,83,486,136044,1
0,677,644,8000,-9337,97,161,1,106,536,151065,0
0,633,634,8000,-12115,72,38,6,38,872,100499,1
0,833,575,4000,-9341,238,232,0,139,807,78689,1
0,714,309,7000,-10796,29,15,807,77,67,107346,1
0,690,894,2000,-6791,73,8,0,189,551,101977,1
1,723,805,2000,-6710,182,31,0,108,698,93088,1
0,149,250,10000,-21733,39,921,868,176,83,98516,0
0,419,28,0,-24090,35,987,586,105,121,71502,1
0,554,315,3000,-11028,29,828,0,101,325,128157,1
0,277,510,6000,-7700,37,694,0,87,364,113618,1
0,578,198,5000,-17615,37,931,1,106,549,130798,1
0,467,529,9000,-5773,51,626,0,91,348,119566,0
1,630,797,0,-5266,288,791,0,142,545,159883,0
0,369,247,11000,-16866,29,872,546,220,63,103766,1
0,437,95,7000,-16676,31,982,296,135,160,102409,1
0,465,696,10000,-6233,36,7,1,142,49,174806,0
0,544,75,2000,-22210,41,906,587,89,256,60539,1
0,481,264,7000,-14794,35,929,780,100,181,118351,1
0,465,60,2000,-23367,42,945,893,108,39,101230,1
1,725,418,9000,-8799,30,344,0,65,378,77924,1
0,552,638,1000,-7474,110,387,0,374,332,167834,0
1,409,678,9000,-7731,87,359,0,167,168,89968,0
0,582,199,10000,-10045,32,953,8,135,78,66454,1
0,484,632,5000,-6917,97,695,24,209,73,126384,0
1,646,648,3000,-8602,37,710,3,108,466,75004,0
1,403,234,4000,-17865,53,761,61,123,130,144226,1
1,305,715,7000,-7540,55,105,49,90,290,82977,1
0,480,373,10000,-9297,27,804,67,120,37,114078,0
1,857,668,7000,-6816,52,17,0,101,624,89986,0
1,787,312,7000,-12401,38,895,22,115,425,119899,0
1,656,776,6000,-6184,67,160,378,372,638,156049,1
0,516,456,9000,-9242,39,281,0,84,238,145843,1
1,836,686,1000,-4673,41,140,2,68,632,110029,1
0,520,686,4000,-7727,53,391,16,72,248,94982,0
0,485,131,10000,-17534,41,990,873,91,80,95725,1
